	reads.in	reads.out	ratio
Orwoll_BI0023_BI_R1.fastq.gz	62724	52608	0.84
Orwoll_BI0056_BI_R1.fastq.gz	55342	45875	0.83
Orwoll_BI0131_BI_R1.fastq.gz	55144	46382	0.84
Orwoll_BI0153_BI_R1.fastq.gz	44610	38107	0.85
Orwoll_BI0215_BI_R1.fastq.gz	48227	40871	0.85
Orwoll_BI0353_BI_R1.fastq.gz	54271	47997	0.88
